13.24.02  [main] 	Initializing Control Panel
13.24.02  [main] 	Windows Version:  Enterprise  64-bit
13.24.02  [main] 	XAMPP Version: 7.2.2
13.24.02  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
13.24.02  [main] 	You are not running with administrator rights! This will work for
13.24.02  [main] 	most application stuff but whenever you do something with services
13.24.02  [main] 	there will be a security dialogue or things will break! So think 
13.24.02  [main] 	about running this application with administrator rights!
13.24.02  [main] 	XAMPP Installation Directory: "c:\xampp\"
13.24.02  [main] 	Checking for prerequisites
13.24.03  [main] 	All prerequisites found
13.24.03  [main] 	Initializing Modules
13.24.03  [mysql] 	MySQL Service detected with wrong path
13.24.03  [mysql] 	Change XAMPP MySQL and Control Panel settings or
13.24.03  [mysql] 	Uninstall/disable the other service manually first
13.24.03  [mysql] 	Found Path: "C:\Program Files\MariaDB 10.2\bin\mysqld.exe" "--defaults-file=C:\Program Files\MariaDB 10.2\data\my.ini" "MySQL"
13.24.03  [mysql] 	Expected Path: c:\xampp\mysql\bin\mysqld.exe --defaults-file=c:\xampp\mysql\bin\my.ini mysql
13.24.03  [mysql] 	Problem detected!
13.24.03  [mysql] 	Port 3306 in use by ""C:\Program Files\MariaDB 10.2\bin\mysqld.exe" "--defaults-file=C:\Program Files\MariaDB 10.2\data\my.ini" "MySQL""!
13.24.03  [mysql] 	MySQL WILL NOT start without the configured ports free!
13.24.03  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
13.24.03  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
13.24.03  [main] 	Starting Check-Timer
13.24.03  [main] 	Control Panel Ready
13.24.13  [Apache] 	Attempting to start Apache app...
13.24.14  [Apache] 	Status change detected: running
13.24.14  [mysql] 	Problem detected!
13.24.14  [mysql] 	Port 3306 in use by ""C:\Program Files\MariaDB 10.2\bin\mysqld.exe" "--defaults-file=C:\Program Files\MariaDB 10.2\data\my.ini" "MySQL""!
13.24.14  [mysql] 	MySQL WILL NOT start without the configured ports free!
13.24.14  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
13.24.14  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
13.24.14  [mysql] 	Attempting to start MySQL service...
13.28.04  [mysql] 	Problem detected!
13.28.04  [mysql] 	Port 3306 in use by ""C:\Program Files\MariaDB 10.2\bin\mysqld.exe" "--defaults-file=C:\Program Files\MariaDB 10.2\data\my.ini" "MySQL""!
13.28.04  [mysql] 	MySQL WILL NOT start without the configured ports free!
13.28.04  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
13.28.04  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
13.28.04  [mysql] 	Attempting to start MySQL service...
13.30.01  [mysql] 	Attempting to start MySQL service...
13.30.50  [mysql] 	Attempting to start MySQL service...
13.31.26  [Apache] 	Attempting to stop Apache (PID: 8228)
13.31.26  [Apache] 	Attempting to stop Apache (PID: 8764)
13.31.26  [Apache] 	Status change detected: stopped
13.31.27  [Apache] 	Attempting to start Apache app...
13.31.28  [Apache] 	Status change detected: running
13.31.31  [mysql] 	Attempting to start MySQL service...
13.32.34  [main] 	Executing "services.msc"
13.32.56  [mysql] 	Attempting to start MySQL service...
13.33.33  [mysql] 	Attempting to start MySQL service...
13.35.00  [Apache] 	Status change detected: stopped
13.35.00  [Apache] 	Error: Apache shutdown unexpectedly.
13.35.00  [Apache] 	This may be due to a blocked port, missing dependencies, 
13.35.00  [Apache] 	improper privileges, a crash, or a shutdown by another method.
13.35.00  [Apache] 	Press the Logs button to view error logs and check
13.35.00  [Apache] 	the Windows Event Viewer for more clues
13.35.00  [Apache] 	If you need more help, copy and post this
13.35.00  [Apache] 	entire log window on the forums
13.35.00  [main] 	Deinitializing Modules
13.35.00  [main] 	Deinitializing Control Panel

